idPotManip;idManip;idGenotype;positionPot;bloc;poidsPotNonTroue;poidsPotTroue;poidsSolSec;dateSemis;nbPlante;substrat;humiditeNiveau1;humiditeNiveau2;humiditeNiveau3;humiditeNiveau4;humiditeNiveau5;;
C2M43-73;C2M43;Col-0(18);P11_A25;1;14.61;14.31;66.72;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-74;C2M43;Col-0(18);P11_A3;1;13.35;12.78;65.87;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-75;C2M43;Col-0(18);P4_A17;1;15.24;14.84;65.2;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-76;C2M43;Col-0(18);P11_A36;1;14.73;14.62;65.92;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-77;C2M43;Col-0(18);P12_A8;1;15.26;15.2;67;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-78;C2M43;Col-0(18);P5_A22;1;14.14;15.07;65.65;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-79;C2M43;Col-0(18);P12_A29;1;15.3;14.67;67.61;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-80;C2M43;ost2;P4_A8;1;14.9;14.47;-29.37;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-81;C2M43;ost2;P11_A15;1;14.99;14.36;-29.35;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-82;C2M43;ost2;P4_A29;1;14.89;14.72;-29.61;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-83;C2M43;ost2;P5_A1;1;15.24;14.54;-29.78;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-84;C2M43;ost2;P12_A20;1;15.28;14.97;-30.25;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-85;C2M43;ost2;P5_A34;1;12.87;12.87;-25.74;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-86;C2M43;ost2;P5_A12;1;14.62;15.29;-29.91;02/03/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-87;C2M43;pgm;P4_A20;1;12.56;13.17;66.64;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-88;C2M43;pgm;P11_A27;1;14.31;15.19;66.49;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-89;C2M43;pgm;P11_A5;1;15.04;14.72;69.24;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-90;C2M43;pgm;P5_A13;1;14.52;15.44;63.29;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-91;C2M43;pgm;P12_A32;1;15.55;15.47;66.41;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-92;C2M43;pgm;P12_A10;1;12.39;13.52;65.79;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-93;C2M43;pgm;P5_A24;1;15.01;14.97;65.87;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-94;C2M43;Adg1-1;P4_A32;1;15.63;15.33;63.55;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-95;C2M43;Adg1-1;P4_A10;1;15.43;14.84;66.33;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-96;C2M43;Adg1-1;P11_A17;1;15.12;15.33;66.01;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-97;C2M43;Adg1-1;P5_A25;1;15.44;14.43;64.11;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-98;C2M43;Adg1-1;P5_A3;1;13.23;13.67;65.35;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-99;C2M43;Adg1-1;P12_A22;1;15.08;14.56;63.93;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-100;C2M43;Adg1-1;P5_A36;1;15.7;15.16;64.97;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-101;C2M43;Sex1;P11_A8;1;13.04;14.68;65;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-102;C2M43;Sex1;P4_A22;1;15.07;15.34;63.44;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-103;C2M43;Sex1;P11_A29;1;15.5;14.16;64.46;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-104;C2M43;Sex1;P12_A1;1;14.76;14.47;63.61;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-105;C2M43;Sex1;P5_A15;1;12.55;13.1;64.91;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-106;C2M43;Sex1;P12_A34;1;15.73;15.42;64.49;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-107;C2M43;Sex1;P12_A12;1;15.86;14.38;66.53;20/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-108;C2M43;Bam1;P3_A5;1;15.24;14.41;66.25;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-109;C2M43;Bam1;P10_A5;1;15.8;14.89;71.92;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-110;C2M43;Bam1;P3_A12;1;14.22;14.88;67.4;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-111;C2M43;Bam1;P10_A12;1;15.26;14.81;65.18;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-112;C2M43;Bam1;P6_A5;1;14.79;15.31;65.46;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-113;C2M43;Bam1;P13_A5;1;14.63;14.47;70.8;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-114;C2M43;Bam1;P6_A12;1;15.07;14.49;66.89;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-115;C2M43;Bam3;P3_A17;1;14.84;15.03;71.04;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-116;C2M43;Bam3;P10_A17;1;15.13;13.98;69.55;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-117;C2M43;Bam3;P3_A24;1;14.74;14.52;67.72;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-118;C2M43;Bam3;P10_A24;1;14.23;14.76;70.14;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-119;C2M43;Bam3;P6_A17;1;14.1;15.35;70.6;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-120;C2M43;Bam3;P13_A17;1;15.39;14.95;67.53;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-121;C2M43;Bam3;P6_A24;1;15.16;15.15;68.18;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-122;C2M43;Bam1-3;P3_A29;1;14.76;14.73;65.49;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-123;C2M43;Bam1-3;P10_A29;1;15.41;14.49;67.77;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-124;C2M43;Bam1-3;P3_A36;1;14.26;14.48;67.93;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-125;C2M43;Bam1-3;P10_A36;1;14.87;14.51;65.87;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-126;C2M43;Bam1-3;P6_A29;1;14.8;15.18;65.52;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-127;C2M43;Bam1-3;P13_A29;1;15.2;14.45;68.31;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
C2M43-128;C2M43;Bam1-3;P6_A36;1;15.52;15.55;67.76;27/02/2018;1;Phenoarch;0;1;0;0;0;u;NON
