idPotManip;idManip;idGenotype;positionPot;bloc;poidsPotNonTroue;poidsPotTroue;poidsSolSec;dateSemis;nbPlante;substrat;humiditeNiveau1;humiditeNiveau2;humiditeNiveau3;humiditeNiveau4;humiditeNiveau5;typePot;Grille
C2M47-145;C2M47;Sex1;P3_A1;1;14.64;15.77;71.4674;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-146;C2M47;Col-0;P3_A7;1;14.65;15.48;69.0263;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-147;C2M47;pgm;P3_A13;1;14.99;14.86;72.5648;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-148;C2M47;Bam1;P3_A19;1;15.45;15.48;69.1289;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-149;C2M47;ss4-3ProStarv::LUC;P3_A25;1;15.56;14.76;68.9494;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-150;C2M47;abcb14-1;P3_A31;1;14.91;14.54;70.5135;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-151;C2M47;abcb14-2;P10_A1;1;15.44;15.28;68.7186;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-152;C2M47;ss4-3ProStarv::LUC;P10_A7;1;14.85;15.51;73.3033;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-153;C2M47;pgm;P10_A13;1;14.93;15.56;69.8109;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-154;C2M47;amy3-2bam1;P10_A19;1;14.87;14.92;70.6776;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-155;C2M47;pgm;P10_A25;1;14.66;14.63;71.093;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-156;C2M47;abcb14-1;P10_A31;1;15.58;14.85;68.3237;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-157;C2M47;isa1-1ProStarv::LUC;P3_A2;1;14.72;15.16;70.575;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-158;C2M47;amy3-2bam1;P3_A8;1;15.19;15.19;70.893;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-159;C2M47;pgi1-1;P3_A14;1;15.42;15.02;69.2468;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-160;C2M47;Col-0ProStarv::LUC;P3_A20;1;14.98;14.64;70.2212;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-161;C2M47;Col-0;P3_A26;1;16.06;15.36;68.6725;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-162;C2M47;abcb14-1;P3_A32;1;14.78;15.06;70.6571;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-163;C2M47;abcb14-1;P10_A2;1;14.9;15.48;70.2212;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-164;C2M47;abcb14-2;P10_A8;1;15.99;14.31;65.2468;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-165;C2M47;mex1-1;P10_A14;1;14.86;15.36;67.4365;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-166;C2M47;abcb14-1;P10_A20;1;14.79;14.5;68.6109;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-167;C2M47;Col-0;P10_A26;1;14.58;15.53;66.7904;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-168;C2M47;abcb14-2;P10_A32;1;15.52;15.65;71.6622;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-169;C2M47;Col-0;P3_A3;1;15.12;14.67;69.0314;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-170;C2M47;Bam1;P3_A9;1;14.85;15.04;68.8776;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-171;C2M47;Col-0;P3_A15;1;14.58;14.34;67.4417;18/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-172;C2M47;Col-0;P3_A21;1;15.94;14.44;68.0673;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-173;C2M47;Col-0;P3_A27;1;14.95;14.95;68.5135;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-174;C2M47;mex1-1;P3_A33;1;15.1;15.04;68.5545;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-175;C2M47;ss4-3ProStarv::LUC;P10_A3;1;15.66;14.93;68.6673;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-176;C2M47;Bam3;P10_A9;1;15.08;15.28;68.8571;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-177;C2M47;Bam1;P10_A15;1;15.42;15.13;66.2468;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-178;C2M47;Bam1;P10_A21;1;14.96;15.08;69.134;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-179;C2M47;Col-0;P10_A27;1;15.58;15.05;64.6827;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-180;C2M47;Bam3;P10_A33;1;15.46;14.74;70.7853;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-181;C2M47;Col-0;P3_A4;1;15.69;15.45;69.2981;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-182;C2M47;Dpe2;P3_A10;1;15.58;15.18;67.9545;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-183;C2M47;pgi1-1;P3_A16;1;15.87;14.45;67.2878;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-184;C2M47;Col-0;P3_A22;1;15.39;14.92;69.2109;18/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-185;C2M47;Dpe2;P3_A28;1;15.16;14.99;68.9648;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-186;C2M47;Dpe1;P3_A34;1;15.26;14.83;68.8468;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-187;C2M47;isa1-1ProStarv::LUC;P10_A4;1;15.54;15.21;68.1648;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-188;C2M47;amy3-2bam1;P10_A10;1;15.83;15.41;70.7853;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-189;C2M47;Col-0;P10_A16;1;15.31;14.72;69.6827;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-190;C2M47;Col-0;P10_A22;1;15.62;15.55;66.3494;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-191;C2M47;Col-0;P10_A28;1;15.3;15.04;65.6263;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-192;C2M47;Col-0;P4_A32;1;15.12;14.85;70.6468;25/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-193;C2M47;pgm;P3_A5;1;15.7;14.43;65.4929;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-194;C2M47;Col-0;P3_A11;1;15.39;15.23;66.1904;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-195;C2M47;pgm;P3_A17;1;15.47;15.04;66.7596;18/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-196;C2M47;isa1-1ProStarv::LUC;P3_A23;1;15.28;15;69.8263;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-197;C2M47;Sex1;P3_A29;1;15.47;15.06;68.6109;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-198;C2M47;Col-0;P3_A35;1;15.4;15.44;69.4366;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-199;C2M47;Col-0;P5_A5;1;15.44;15.19;67.7904;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-200;C2M47;abcb14-2;P10_A11;1;15.24;15.07;66.9237;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-201;C2M47;amy3-2bam1;P11_A22;1;15.47;14.92;73.611;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-202;C2M47;Col-0;P10_A23;1;14.8;15.23;67.1699;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-203;C2M47;isa1-1ProStarv::LUC;P5_A30;1;15.6;14.94;66.9647;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-204;C2M47;isa1-1ProStarv::LUC;P10_A35;1;15.52;15.34;65.4417;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-205;C2M47;Col-0;P3_A6;1;14.82;14.3;68.7648;25/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-206;C2M47;isa1-1ProStarv::LUC;P11_A23;1;14.96;15.17;66.5801;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-207;C2M47;amy3-2;P3_A18;1;15.39;14.4;70.8007;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-208;C2M47;pgm;P4_A22;1;15.59;14.48;69.7135;25/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-209;C2M47;amy3-2;P3_A30;1;15.41;14.76;69.2212;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-210;C2M47;amy3-2bam1;P12_A15;1;15.51;15.03;74.4623;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-211;C2M47;pgi1-1;P10_A6;1;15.03;14.56;69.4468;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-212;C2M47;Col-0;P10_A34;1;15.71;14.44;71.4468;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-213;C2M47;pgm;P10_A18;1;16.08;15.07;69.9289;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-214;C2M47;mex1-1;P4_A30;1;15.67;14.87;68.216;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-215;C2M47;Col-0;P10_A30;1;15.79;14.09;70.9186;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-216;C2M47;Dpe2;P4_A36;1;16.09;14.71;67.4776;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-217;C2M47;abcb14-1;P4_A1;1;15.12;15.46;68.1442;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-218;C2M47;Col-0;P4_A7;1;15.04;15.77;71.1289;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-219;C2M47;mex1-1;P4_A13;1;15.41;14.65;70.0622;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-220;C2M47;Bam1-3;P4_A19;1;15;15.4;69.8725;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-221;C2M47;ss4-3ProStarv::LUC;P4_A25;1;15.44;15.31;69.1955;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-222;C2M47;Col-0ProStarv::LUC;P4_A31;1;14.91;14.62;71.1904;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-223;C2M47;mex1-1;P11_A1;1;15.51;15.28;70.7238;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-224;C2M47;Col-0;P11_A7;1;15.11;15.35;71.8827;25/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-225;C2M47;Col-0ProStarv::LUC;P11_A13;1;15.24;15.26;67.0468;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-226;C2M47;Sex1;P11_A19;1;15.9;15.16;71.5443;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-227;C2M47;Sex1;P11_A25;1;15.28;15.19;70.6776;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-228;C2M47;Bam1-3;P11_A31;1;15.1;15.47;69.1443;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-229;C2M47;amy3-2bam1;P4_A2;1;16.05;15.31;68.6673;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-230;C2M47;amy3-2bam1;P4_A8;1;15.15;14.51;68.6314;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-231;C2M47;pgi1-1;P4_A14;1;14.88;14.85;69.3443;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-232;C2M47;amy3-2bam1;P4_A20;1;15.83;15.63;67.975;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-233;C2M47;pgm;P4_A26;1;15.73;14.92;68.2058;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-234;C2M47;Dpe1;P10_A12;1;15.47;15.21;68.9801;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-235;C2M47;isa1-1ProStarv::LUC;P11_A2;1;15.79;15.13;67.5494;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-236;C2M47;Col-0;P11_A8;1;15.71;14.36;67.6109;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-237;C2M47;Dpe2;P11_A14;1;14.71;14.22;68.934;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-238;C2M47;Col-0;P11_A20;1;15.61;14.65;68.2058;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-239;C2M47;Col-0;P11_A26;1;15.28;15.38;68.6109;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-240;C2M47;Bam1-3;P11_A32;1;15.19;14.65;69.4776;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-241;C2M47;Sex1;P4_A3;1;15.74;15.09;70.4366;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-242;C2M47;Col-0;P4_A9;1;15.28;14.63;69.2827;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-243;C2M47;Dpe2;P4_A15;1;15.67;14.41;68.4263;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-244;C2M47;Dpe1;P13_A28;1;15.46;14.54;68.3032;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-245;C2M47;amy3-2;P4_A27;1;16.19;15.24;68.7904;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-246;C2M47;isa1-1ProStarv::LUC;P4_A33;1;14.89;15.18;69.2417;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-247;C2M47;Dpe1;P11_A3;1;15.75;14.52;69.5545;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-248;C2M47;amy3-2bam1;P11_A9;1;14.68;15.14;67.775;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-249;C2M47;mex1-1;P11_A15;1;15.22;14.98;70.8725;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-250;C2M47;pgm;P11_A21;1;16.02;14.36;70.1596;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-251;C2M47;amy3-2;P11_A27;1;15.42;14.89;67.2314;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-252;C2M47;Bam1-3;P11_A33;1;15.28;15.2;68.9237;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-253;C2M47;pgm;P4_A4;1;16.01;15.58;69.3032;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-254;C2M47;Bam1;P4_A10;1;15.25;14.84;68.4263;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-255;C2M47;Bam1-3;P4_A16;1;15.2;14.85;67.7391;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-256;C2M47;Dpe1;P3_A24;1;15.51;14.36;66.3494;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-257;C2M47;Bam3;P4_A28;1;15.03;15.52;66.7032;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-258;C2M47;amy3-2;P4_A34;1;14.79;15.31;69.3648;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-259;C2M47;amy3-2;P11_A4;1;14.64;14.41;66.6981;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-260;C2M47;pgm;P11_A10;1;15.56;14.34;68.3904;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-261;C2M47;Bam1;P11_A16;1;15.36;15.27;72.6058;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-262;C2M47;Dpe1;P10_A17;1;15.33;14.69;70.2366;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-263;C2M47;pgm;P11_A28;1;15.22;14.92;71.5033;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-264;C2M47;abcb14-1;P11_A34;1;14.78;14.31;70.0263;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-265;C2M47;abcb14-2;P4_A5;1;15.15;14.61;68.1494;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-266;C2M47;Bam1-3;P4_A11;1;14.89;15.07;65.9647;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-267;C2M47;Bam1;P4_A17;1;15.33;15.02;71.8827;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-268;C2M47;pgi1-1;P4_A23;1;15.34;14.94;71.7956;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-269;C2M47;mex1-1;P4_A29;1;14.6;14.64;69.1545;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-270;C2M47;Dpe2;P4_A35;1;14.97;14.05;69.8673;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-271;C2M47;Sex1;P11_A5;1;15.73;15.43;70.2417;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-272;C2M47;pgm;P11_A11;1;15.83;15.48;74.0879;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-273;C2M47;pgi1-1;P11_A17;1;14.79;14.08;67.3391;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-274;C2M47;Dpe2;P3_A12;1;14.73;15.38;69.0622;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-275;C2M47;Col-0;P11_A29;1;15.37;14.44;73.1597;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-276;C2M47;Col-0;P11_A35;1;15.64;15.36;70.6109;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-277;C2M47;abcb14-1;P4_A6;1;15.72;14.72;71.0007;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-278;C2M47;pgi1-1;P4_A12;1;14.88;15.32;73.3494;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-279;C2M47;mex1-1;P4_A18;1;14.68;15.03;70.1391;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-280;C2M47;pgm;P4_A24;1;15.59;15.24;69.9032;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-281;C2M47;Dpe1;P10_A36;1;15.27;14.5;71.8212;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-282;C2M47;Dpe2;P10_A24;1;14.9;14.91;70.9904;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-283;C2M47;Bam3;P11_A6;1;15.3;14.23;71.6109;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-284;C2M47;Bam1;P11_A12;1;15.09;14.67;72.5956;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-285;C2M47;Col-0ProStarv::LUC;P11_A18;1;15.06;14.7;71.3904;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
